planet_name,disposition,radius_earth,estimated_mass_earth,period_days,temperature_k,semi_major_axis_au,insolation_flux,in_hz_conservative,in_hz_optimistic,esi,temp_score,size_mass_score,habitability_score,habitability_category
Kepler-227 b,CONFIRMED,2.26,14.247707151365537,9.48803557,793.0,0.0853,93.59,False,False,0.39533342632816254,0.0,0.0,0.09883335658204064,Very Low
Kepler-227 c,CONFIRMED,2.83,22.54281217960266,54.4183827,443.0,0.2734,9.11,False,False,0.3677493299757415,0.0,0.0,0.09193733249393538,Very Low
,CANDIDATE,14.6,1957.9877164476475,19.89913995,638.0,0.1419,39.3,False,False,0.05998070025061064,0.0,0.0,0.01199614005012213,Very Low
,FALSE POSITIVE,33.46,5754.862717795177,1.736952453,1395.0,0.0267,891.96,False,False,0.031447320271058364,0.0,0.0,0.006289464054211673,Very Low
Kepler-664 b,CONFIRMED,2.75,21.2619190125152,2.525591777,1406.0,0.0374,926.16,False,False,0.304692514971832,0.0,0.0,0.076173128742958,Very Low
Kepler-228 d,CONFIRMED,3.9,43.36462174048452,11.09432054,835.0,0.0992,114.81,False,False,0.2568853256508061,0.0,0.0,0.06422133141270152,Very Low
Kepler-228 c,CONFIRMED,2.77,21.578561662961974,4.13443512,1160.0,0.0514,427.65,False,False,0.3151272823175782,0.0,0.0,0.07878182057939455,Very Low
Kepler-228 b,CONFIRMED,1.59,6.953667137637205,2.56658897,1360.0,0.0374,807.74,False,False,0.45776025040913404,0.0,0.025,0.11819006260228351,Very Low
,FALSE POSITIVE,39.21,7072.405372293823,7.36178958,1342.0,0.082,767.22,False,False,0.028808580002909905,0.0,0.0,0.005761716000581982,Very Low
Kepler-229 c,CONFIRMED,5.76,584.386909274373,16.06864674,600.0,0.1158,30.75,False,False,0.10431953362972071,0.0,0.0,0.026079883407430178,Very Low
Kepler-1 b,CONFIRMED,13.04,1690.488104876161,2.470613377,1339.0,0.0354,761.46,False,False,0.05570450846386876,0.0,0.0,0.01392612711596719,Very Low
Kepler-2 b,CONFIRMED,16.1,2223.4373112109797,2.204735417,2048.0,0.0376,4148.92,False,False,0.04490700485016696,0.0,0.0,0.01122675121254174,Very Low
Kepler-8 b,CONFIRMED,14.59,1956.2444818740053,3.522498429,1521.0,0.0473,1264.67,False,False,0.050755275318329775,0.0,0.0,0.012688818829582444,Very Low
Kepler-466 c,CONFIRMED,1.16,1.7317873386937765,3.709214104,1206.0,0.0465,500.46,False,False,0.6964445923840217,0.0,1.0,0.3241111480960054,Low
,FALSE POSITIVE,150.51,40643.0426390055,11.521446064,753.0,0.0978,75.88,False,False,0.014249983716926179,0.0,0.0,0.002849996743385236,Very Low
,FALSE POSITIVE,7.18,778.2390663480404,19.40393776,523.0,0.123,17.69,False,False,0.09401248915049577,0.0,0.0,0.018802497830099157,Very Low
,FALSE POSITIVE,49.29,9522.209099703681,19.221388942,698.0,0.1417,55.97,False,False,0.028448016784744182,0.0,0.0,0.0056896033569488365,Very Low
,FALSE POSITIVE,7.94,886.9883251604442,16.46983774,595.0,0.1147,29.61,False,False,0.0868209256866595,0.0,0.0,0.0173641851373319,Very Low
Kepler-660 b,CONFIRMED,2.47,17.079122314746733,9.27358173,649.0,0.0759,41.85,False,False,0.383356472979801,0.0,0.0,0.09583911824495026,Very Low
Kepler-661 b,CONFIRMED,2.85,22.86900548097679,6.02930329,678.0,0.0585,50.04,False,False,0.3411408679721221,0.0,0.0,0.08528521699303053,Very Low
,FALSE POSITIVE,1.58,6.864742030158441,2.696370652,1066.0,0.0349,305.34,False,False,0.48289677843212314,0.0,0.05,0.10257935568642462,Very Low
Kepler-226 c,CONFIRMED,2.55,18.226602919560595,5.349553819,919.0,0.0563,168.99,False,False,0.35127568612934,0.0,0.0,0.087818921532335,Very Low
Kepler-226 b,CONFIRMED,1.7,7.9703898411626,3.94105221,1018.0,0.046,253.15,False,False,0.46317520742349255,0.0,0.0,0.11579380185587314,Very Low
Kepler-226 d,CONFIRMED,1.3,2.639917795300617,8.10904807,800.0,0.0743,97.03,False,False,0.6758290143227664,0.0,0.8933470341165639,0.3029593086981762,Low
,FALSE POSITIVE,41.5,7614.015842369634,386.6030528,297.0,1.0719,1.84,False,False,0.0359662279651875,0.9839305142725083,0.0,0.20397934844753918,Low
Kepler-662 b,CONFIRMED,2.95,24.535825640831845,21.67699193,530.0,0.1408,18.64,False,False,0.34628552365719006,0.0,0.0,0.08657138091429752,Very Low
Kepler-663 b,CONFIRMED,2.78,21.73777793404065,4.99677968,917.0,0.0559,166.95,False,False,0.32902659967868575,0.0,0.0,0.08225664991967144,Very Low
Kepler-671 b,CONFIRMED,2.3,14.766873333739772,4.280963604,1012.0,0.0503,247.87,False,False,0.37261940651396896,0.0,0.0,0.09315485162849224,Very Low
,FALSE POSITIVE,4.53,427.6405830534234,1.50635409,1452.0,0.025,1054.12,False,False,0.10104792013280993,0.0,0.0,0.020209584026561988,Very Low
,FALSE POSITIVE,14.14,1878.172522999979,670.645531,196.0,1.5155,0.35,False,False,0.06530021686741036,0.0,0.0,0.013060043373482072,Very Low
,FALSE POSITIVE,39.87,7227.554193030566,61.2563628,505.0,0.3137,15.43,False,False,0.03414869067727496,0.0,0.0,0.006829738135454993,Very Low
Kepler-672 b,CONFIRMED,2.82,22.380611327550714,38.3775486,529.0,0.2163,18.53,False,False,0.3586391723589949,0.0,0.0,0.08965979308974872,Very Low
Kepler-229 d,CONFIRMED,3.86,42.462138807703596,41.19725502,439.0,0.217,8.76,False,False,0.28874834109111774,0.0,0.0,0.07218708527277944,Very Low
Kepler-229 b,CONFIRMED,2.65,19.714480936056862,6.252962249,823.0,0.0617,108.3,False,False,0.34829925814098295,0.0,0.0,0.08707481453524574,Very Low
Kepler-665 b,CONFIRMED,3.1,27.148236232352826,16.01308419,593.0,0.1148,29.31,False,False,0.3270925074375176,0.0,0.0,0.0817731268593794,Very Low
Kepler-230 b,CONFIRMED,3.36,31.99601487599775,32.62876672,506.0,0.1889,15.55,False,False,0.31522070243563216,0.0,0.0,0.07880517560890804,Very Low
Kepler-230 c,CONFIRMED,2.12,12.505150431001542,91.7732862,359.0,0.3764,3.92,False,False,0.4712004538250423,0.3648751641236792,0.0,0.20901890448718036,Low
Kepler-1976 b,CONFIRMED,12.21,1551.9638947514718,4.959319244,1103.0,0.0565,349.4,False,False,0.06022580669993853,0.0,0.0,0.015056451674984633,Very Low
,FALSE POSITIVE,6.54,689.2905479974281,2.701287801,1222.0,0.0365,527.81,False,False,0.08493527822334214,0.0,0.0,0.016987055644668427,Very Low
Kepler-666 b,CONFIRMED,2.1,12.26566574445594,4.49876511,1133.0,0.0542,389.62,False,False,0.38976502951749015,0.0,0.0,0.09744125737937254,Very Low
,FALSE POSITIVE,12.42,1586.7529886344657,19.651209505,730.0,0.1433,67.03,False,False,0.0644621107519236,0.0,0.0,0.01289242215038472,Very Low
Kepler-105 b,CONFIRMED,2.94,24.366453236992026,5.412203927,1093.0,0.0591,337.68,False,False,0.3045890720388674,0.0,0.0,0.07614726800971686,Very Low
Kepler-667 b,CONFIRMED,5.5,550.3294407734123,41.43958662,516.0,0.2288,16.72,False,False,0.10980073482071151,0.0,0.0,0.027450183705177877,Very Low
Kepler-668 b,CONFIRMED,2.52,17.791840122690743,8.35389523,790.0,0.0768,91.9,False,False,0.3645950886653654,0.0,0.0,0.09114877216634135,Very Low
Kepler-669 b,CONFIRMED,4.43,415.40918461806973,4.125543472,1243.0,0.0529,565.35,False,False,0.10565134535625764,0.0,0.0,0.02641283633906441,Very Low
Kepler-670 b,CONFIRMED,12.21,1551.9638947514718,2.816504904,1219.0,0.0383,521.13,False,False,0.059031809430135064,0.0,0.0,0.014757952357533766,Very Low
,FALSE POSITIVE,7.34,800.8591249546216,33.93373447,430.0,0.1881,8.11,False,False,0.09569122181811875,0.0,0.0,0.01913824436362375,Very Low
Kepler-680 b,CONFIRMED,1.89,9.893406293821052,3.689920099,1147.0,0.0469,408.99,False,False,0.4196809336917514,0.0,0.0,0.10492023342293785,Very Low
Kepler-232 b,CONFIRMED,3.25,29.895499944674036,4.431238488,1104.0,0.0529,351.23,False,False,0.2811851079850756,0.0,0.0,0.0702962769962689,Very Low
Kepler-232 c,CONFIRMED,3.95,44.50633568549854,11.37936986,806.0,0.0993,99.68,False,False,0.25595589544125746,0.0,0.0,0.06398897386031437,Very Low
Kepler-681 b,CONFIRMED,3.07,26.614974237963025,26.39432897,489.0,0.1635,13.49,False,False,0.3400896514663416,0.0,0.0,0.0850224128665854,Very Low
